baseline,isolation_50,isolation_60,isolation_70,isolation_80,farmonly_50,farmonly_60,farmonly_70,farmonly_80,farmhh_50,farmhh_60,farmhh_70,farmhh_80
0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
20,26,30,32,36,25,30,31,35,26,30,31,38
20,3,3,34,13,3,3,34,13,3,3,35,13
19,27,28,31,35,28,27,30,39,28,29,33,38
19,26,31,27,35,27,28,31,35,27,27,28,35
2,2,2,2,2,2,2,2,2,2,2,2,2
22,27,26,31,36,25,26,29,37,27,26,30,37
0,1,1,1,1,1,1,1,1,1,1,1,1
21,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0
20,26,27,31,32,27,29,27,29,25,33,30,33
22,29,30,0,0,27,28,0,0,28,29,0,0
22,29,28,32,42,27,30,33,38,28,27,39,35
21,25,27,36,38,24,28,32,36,23,27,33,37
0,0,0,0,0,0,0,0,0,0,0,0,0
20,26,28,30,43,25,27,29,40,24,28,32,37
22,2,2,2,2,2,2,2,2,2,2,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1
21,3,3,28,1,3,3,29,1,3,3,31,1
20,28,28,5,38,28,31,5,37,31,31,5,39
22,28,29,36,1,30,29,34,1,29,30,33,1
20,30,26,33,33,29,26,34,41,28,28,33,35
20,28,28,34,35,27,30,31,33,30,32,33,39
21,28,31,31,3,29,30,30,3,29,30,30,3
21,31,31,35,39,30,31,34,45,29,31,32,37
21,26,28,29,34,26,29,30,33,26,31,28,36
23,25,26,29,33,26,27,29,34,27,27,30,40
21,28,28,31,37,26,32,32,36,30,34,32,37
20,27,33,36,3,26,31,35,3,28,31,40,3
1,1,1,0,0,1,1,0,0,1,1,0,0
21,30,33,33,38,29,33,33,36,27,28,36,37
21,1,1,1,1,1,1,1,1,1,1,1,1
